pt = [513, 1614, 1]
pt = [513, 1624, 1]
pt = [513, 1626, 1]
pt = [513, 1758, 1]
pt = [513, 1761, 1]
pt = [513, 1762, 1]
pt = [513, 1766, 1]
pt = [513, 1771, 1]
pt = [513, 1772, 1]
pt = [514, 1283, 1]
pt = [514, 1289, 1]
pt = [514, 1478, 1]
pt = [514, 1761, 1]
pt = [514, 1762, 1]
pt = [514, 1765, 1]
pt = [514, 1766, 1]
pt = [514, 1770, 1]
pt = [515, 1093, 1]
pt = [515, 1094, 1]
pt = [515, 1095, 1]
pt = [515, 1215, 1]
pt = [515, 1277, 1]
pt = [515, 1278, 1]
pt = [515, 1283, 1]
pt = [515, 1290, 1]
pt = [515, 1291, 1]
pt = [515, 1477, 1]
pt = [515, 1761, 1]
pt = [515, 1768, 1]
pt = [515, 1769, 1]
pt = [515, 1770, 1]
pt = [515, 1771, 1]
pt = [516, 1293, 1]
pt = [516, 1352, 1]
pt = [516, 1353, 1]
pt = [516, 1354, 1]
pt = [516, 1611, 1]
pt = [516, 1612, 1]
pt = [516, 1613, 1]
pt = [516, 1614, 1]
pt = [516, 1624, 1]
pt = [516, 1625, 1]
pt = [516, 1626, 1]
pt = [516, 1627, 1]
pt = [516, 1692, 1]
pt = [516, 1772, 1]
pt = [517, 1220, 1]
pt = [517, 1286, 1]
pt = [517, 1626, 1]
pt = [517, 1691, 1]
pt = [518, 1161, 1]
pt = [518, 1162, 1]
pt = [518, 1163, 1]
pt = [518, 1285, 1]
pt = [518, 1625, 1]
pt = [518, 1626, 1]
pt = [518, 1690, 1]
pt = [519, 1216, 1]
pt = [519, 1217, 1]
pt = [519, 1219, 1]
pt = [519, 1220, 1]
pt = [519, 1285, 1]
pt = [519, 1359, 1]
pt = [519, 1608, 1]
pt = [519, 1609, 1]
pt = [519, 1610, 1]
pt = [519, 1624, 1]
pt = [519, 1625, 1]
pt = [519, 1626, 1]
pt = [519, 1627, 1]
pt = [519, 1695, 1]
pt = [519, 1702, 1]
pt = [519, 1705, 1]
pt = [519, 1706, 1]
pt = [519, 1982, 1]
pt = [520, 1212, 1]
pt = [520, 1213, 1]
pt = [520, 1223, 1]
pt = [520, 1275, 1]
pt = [520, 1285, 1]
pt = [520, 1341, 1]
pt = [520, 1618, 1]
pt = [520, 1626, 1]
pt = [520, 1765, 1]
pt = [520, 1767, 1]
pt = [520, 1975, 1]
pt = [521, 1211, 1]
pt = [521, 1275, 1]
pt = [521, 1618, 1]
pt = [521, 1976, 1]
pt = [521, 1993, 1]
pt = [521, 1994, 1]
pt = [521, 2040, 1]
pt = [521, 2041, 1]
pt = [521, 2042, 1]
pt = [522, 1210, 1]
pt = [522, 1275, 1]
pt = [522, 1477, 1]
pt = [522, 1608, 1]
pt = [522, 1609, 1]
pt = [522, 1610, 1]
pt = [522, 1618, 1]
pt = [522, 1627, 1]
pt = [522, 1681, 1]
pt = [522, 2042, 1]
pt = [522, 2043, 1]
pt = [522, 2044, 1]
pt = [522, 2045, 1]
pt = [522, 2047, 1]
pt = [522, 2050, 1]
pt = [522, 2052, 1]
pt = [522, 2061, 1]
pt = [523, 1208, 1]
pt = [523, 1209, 1]
pt = [523, 1275, 1]
pt = [523, 1627, 1]
pt = [523, 1681, 1]
pt = [523, 1824, 1]
pt = [523, 1825, 1]
pt = [523, 1988, 1]
pt = [523, 2045, 1]
pt = [523, 2047, 1]
pt = [523, 2052, 1]
pt = [523, 2054, 1]
pt = [523, 2061, 1]
pt = [524, 1205, 1]
pt = [524, 1206, 1]
pt = [524, 1207, 1]
pt = [524, 1227, 1]
pt = [524, 1228, 1]
pt = [524, 1275, 1]
pt = [524, 1295, 1]
pt = [524, 1608, 1]
pt = [524, 1609, 1]
pt = [524, 1681, 1]
pt = [524, 1691, 1]
pt = [524, 1704, 1]
pt = [524, 1825, 1]
pt = [524, 1976, 1]
pt = [524, 1977, 1]
pt = [524, 1978, 1]
pt = [524, 1987, 1]
pt = [524, 1988, 1]
pt = [524, 2036, 1]
pt = [524, 2037, 1]
pt = [525, 1228, 1]
pt = [525, 1272, 1]
pt = [525, 1273, 1]
pt = [525, 1274, 1]
pt = [525, 1295, 1]
pt = [525, 1336, 1]
pt = [525, 1339, 1]
pt = [525, 1360, 1]
pt = [525, 1361, 1]
pt = [525, 1610, 1]
pt = [525, 1611, 1]
pt = [525, 1612, 1]
pt = [525, 1622, 1]
pt = [525, 1629, 1]
pt = [525, 1630, 1]
pt = [525, 1681, 1]
pt = [525, 1691, 1]
pt = [525, 1692, 1]
pt = [525, 1751, 1]
pt = [525, 1975, 1]
pt = [525, 1982, 1]
pt = [525, 1983, 1]
pt = [525, 1986, 1]
pt = [525, 1987, 1]
pt = [525, 2035, 1]
pt = [525, 2038, 1]
pt = [525, 2042, 1]
pt = [525, 2046, 1]
pt = [525, 2047, 1]
pt = [525, 2048, 1]
pt = [525, 2049, 1]
pt = [525, 2051, 1]
pt = [525, 2066, 1]
pt = [526, 1335, 1]
pt = [526, 1336, 1]
pt = [526, 1607, 1]
pt = [526, 1608, 1]
pt = [526, 1609, 1]
pt = [526, 1681, 1]
pt = [526, 1751, 1]
pt = [526, 1985, 1]
pt = [526, 2037, 1]
pt = [526, 2047, 1]
pt = [526, 2051, 1]
pt = [526, 2052, 1]
pt = [526, 2065, 1]
pt = [527, 1078, 1]
pt = [527, 1605, 1]
pt = [527, 1612, 1]
pt = [527, 1613, 1]
pt = [527, 1614, 1]
pt = [527, 1615, 1]
pt = [527, 1625, 1]
pt = [527, 1694, 1]
pt = [527, 1751, 1]
pt = [527, 1757, 1]
pt = [527, 1764, 1]
pt = [527, 1765, 1]
pt = [527, 1766, 1]
pt = [527, 1768, 1]
pt = [527, 1985, 1]
pt = [527, 2036, 1]
pt = [527, 2063, 1]
pt = [528, 1078, 1]
pt = [528, 1490, 1]
pt = [528, 1491, 1]
pt = [528, 1609, 1]
pt = [528, 1610, 1]
pt = [528, 1611, 1]
pt = [528, 1612, 1]
pt = [528, 1614, 1]
pt = [528, 1693, 1]
pt = [528, 1694, 1]
pt = [528, 1695, 1]
pt = [528, 1763, 1]
pt = [528, 1766, 1]
pt = [528, 1981, 1]
pt = [528, 2034, 1]
